                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9513,                 4.0937,                 2.0075,                0.00619,                0.20888,                0.00765,                0.00267,                 2.8464,                 4.4005,                 2.4007,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.1858,                 4.1091,                 2.1272,                0.02441,                0.14803,                0.01987,                0.00734,                 2.7244,                 3.8184,                 2.3046,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                 2.1393,                 3.4523,                 2.0711,                 0.5864,                0.10041,                0.07024,                0.02659,                 2.5482,                 3.5487,                 2.2206,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                  1.912,                 2.5413,                 1.8534,                 0.4356,                0.16517,                0.15565,                0.07154,                 2.3649,                 6.9837,                 2.0762,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                 1.6868,                 2.0972,                 1.6909,                0.45439,                0.16517,                0.15497,                 0.0725,                 2.3824,                 6.4779,                 2.0694,             0.00012352,             0.00012352,             0.00012352
                      6,                 1.7185,                 1.8759,                 1.6747,                0.33227,                0.20131,                0.19304,                0.09198,                  2.372,                 3.1496,                 2.0242,             0.00014941,             0.00014941,             0.00014941
                      7,                 1.6083,                 1.6423,                 1.5625,                0.43611,                0.30852,                0.26304,                0.14283,                 2.1503,                 3.2358,                 1.7758,             0.00017474,             0.00017474,             0.00017474
                      8,                 1.4681,                 1.3595,                 1.4467,                0.46168,                0.34509,                0.32427,                0.14228,                 2.1163,                 3.8861,                 1.6829,              0.0001995,              0.0001995,              0.0001995
                      9,                 1.5202,                 1.2867,                 1.4005,                  0.611,                0.34187,                0.28083,                0.11723,                 2.2039,                 5.1495,                 1.7456,             0.00022369,             0.00022369,             0.00022369
                     10,                  1.404,                 1.1541,                 1.3864,                0.72105,                0.36059,                0.34403,                0.17566,                  2.037,                 2.7187,                 1.6771,             0.00024732,             0.00024732,             0.00024732
                     11,                 1.3585,                 1.0955,                 1.3388,                0.51666,                0.36059,                0.32972,                 0.1847,                 1.9672,                 3.0139,                 1.6558,             0.00027038,             0.00027038,             0.00027038
                     12,                 1.2997,                 1.0673,                 1.3305,                0.66594,                0.30043,                0.35961,                0.17567,                 2.0191,                 3.3506,                 1.7147,             0.00029288,             0.00029288,             0.00029288
                     13,                 1.3515,                 1.0803,                 1.4257,                0.78557,                0.27529,                0.33277,                0.16678,                 2.0831,                 3.1027,                  1.766,             0.00031481,             0.00031481,             0.00031481
                     14,                 1.4579,                  1.083,                 1.3817,                0.62369,                0.37861,                0.34056,                 0.1621,                 2.0381,                 2.5527,                 1.7496,             0.00033617,             0.00033617,             0.00033617
                     15,                 1.2118,                0.93854,                 1.2832,                 0.4267,                0.38314,                0.37926,                0.16142,                 1.9982,                 2.8719,                 1.6699,             0.00035697,             0.00035697,             0.00035697
                     16,                 1.2714,                0.89593,                 1.2679,                0.38795,                0.23246,                 0.2312,                0.10316,                 1.9167,                 4.3952,                 1.5859,             0.00037721,             0.00037721,             0.00037721
                     17,                 1.2755,                0.88623,                 1.3503,                0.50259,                0.19676,                0.25411,                0.12097,                 1.9524,                  3.545,                 1.6796,             0.00039687,             0.00039687,             0.00039687
                     18,                 1.2066,                0.84786,                 1.3242,                0.51528,                0.31791,                 0.3132,                0.15273,                  1.903,                 3.7408,                 1.5983,             0.00041597,             0.00041597,             0.00041597
                     19,                 1.1637,                0.83953,                 1.2569,                0.58593,                0.25352,                0.31772,                0.14803,                 1.9018,                 3.0263,                 1.6202,             0.00043451,             0.00043451,             0.00043451
                     20,                 1.2169,                0.81512,                 1.2896,                0.39586,                0.37256,                0.31044,                0.14591,                 1.9165,                  3.345,                 1.6479,             0.00045248,             0.00045248,             0.00045248
                     21,                 1.1775,                0.87549,                 1.2378,                0.41322,                0.35933,                0.25363,                 0.1319,                 1.9781,                 3.8458,                 1.6854,             0.00046988,             0.00046988,             0.00046988
                     22,                 1.2095,                0.90982,                 1.3015,                0.39219,                0.33113,                0.24753,                0.10729,                 2.0783,                 4.2769,                 1.7036,             0.00048672,             0.00048672,             0.00048672
                     23,                 1.1305,                0.89396,                 1.2547,                0.26218,                0.35933,                0.17543,                0.07434,                 2.1224,                   5.56,                 1.7607,             0.00050299,             0.00050299,             0.00050299
